COUNTY_PRE,COUNTY,LEX
1021,1001,0.21138400000000002
1051,1001,0.786792
1073,1001,0.17538299999999998
1101,1001,0.682194
1117,1001,0.14668
1097,1003,0.347853
12033,1003,0.243475
1045,1005,0.226206
1067,1005,0.31472100000000003
1069,1005,0.43813500000000005
1101,1005,0.10977200000000001
1109,1005,0.164023
1113,1005,0.18908599999999998
13215,1005,0.140228
1021,1007,0.168464
1073,1007,0.550277
1117,1007,0.419703
1125,1007,0.68056
1043,1009,0.38451
1055,1009,0.185539
1073,1009,0.6927270000000001
1095,1009,0.25700500000000004
1103,1009,0.10106
1115,1009,0.21009499999999998
1117,1009,0.143772
1003,1013,0.10346
1039,1013,0.22404899999999997
1041,1013,0.193902
1051,1013,0.146283
1073,1013,0.119904
1097,1013,0.110654
1101,1013,0.409387
1029,1015,0.13062
1055,1015,0.30380100000000004
1073,1015,0.257943
1115,1015,0.198657
1121,1015,0.339408
1081,1017,0.656988
1111,1017,0.142771
1113,1017,0.11313599999999999
1123,1017,0.100721
13145,1017,0.143572
13215,1017,0.157389
13285,1017,0.47456899999999996
1015,1019,0.26745
1049,1019,0.347086
1055,1019,0.49460299999999996
1073,1019,0.145598
1095,1019,0.109858
13055,1019,0.10026399999999999
13115,1019,0.377788
13233,1019,0.11321700000000001
1001,1021,0.266797
1007,1021,0.10524100000000002
1051,1021,0.297184
1073,1021,0.420128
1101,1021,0.200725
1117,1021,0.5933930000000001
1025,1023,0.31272300000000003
1091,1023,0.26040399999999997
1097,1023,0.192628
1125,1023,0.11236600000000001
1129,1023,0.25981
28023,1023,0.11533900000000001
28075,1023,0.465517
28153,1023,0.22889400000000001
1003,1025,0.131553
1023,1025,0.147049
1091,1025,0.19914300000000001
1097,1025,0.434883
1099,1025,0.18265699999999999
1125,1025,0.10550599999999999
1129,1025,0.301682
1015,1027,0.5313760000000001
1029,1027,0.316062
1073,1027,0.248129
1081,1027,0.12205
1111,1027,0.305699
1115,1027,0.16752999999999998
1117,1027,0.145653
1121,1027,0.5423140000000001
1123,1027,0.317789
1015,1029,0.6005149999999999
1027,1029,0.143041
1055,1029,0.107281
1073,1029,0.228415
1111,1029,0.209085
1115,1029,0.14690699999999998
1121,1029,0.201031
13045,1029,0.377255
13097,1029,0.12338900000000001
13121,1029,0.11436900000000001
13143,1029,0.257088
1039,1031,0.208166
1045,1031,0.49434700000000004
1061,1031,0.220729
1069,1031,0.464196
1101,1031,0.13505
1109,1031,0.21294000000000002
1059,1033,0.233111
1073,1033,0.110445
1077,1033,0.735544
1079,1033,0.203576
